path,bytes,sha256,kind,modified,attribution_hint,is_os_noise
"source-data/.DS_Store","6148","35ed2618a6e7e81cb7c7c9d226c2167bc4aa80827a1b33b4a6fc823940a2e6cc","other","2026-08-07T05:29:34.511Z","","true"
"source-data/brand/assets/.DS_Store","6148","67eb451f93712f967b69f2dd403c84b4e74eb64e21ca2c05d8ca341341cf879e","other","2026-08-07T05:17:14.822Z","","true"
"source-data/historical-campaigns/2020-07-the-big-bang/.DS_Store","14340","120ca5a4c20c622a6b29586a8cc471d9fecb0a5ed5230bb487dea9fb8c256b54","other","2026-08-07T05:15:15.593Z","","true"
"source-data/historical-campaigns/2020-07-the-big-bang/AdiBrill.jpg","1721459","af6c80ca347e706e596a669ab24e0e4a36ec651b0bf5513446399186aa4c112c","image","2020-08-06T10:39:42.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.26.jpeg","75177","d6516e9287375dfdc8188547c865c28d9622950e19fd0e25871a48a869b31bc1","image","2026-08-07T05:08:26.459Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.28 (1).jpeg","74756","6c58d55dbf08db32d7d03137709d14d4586b3cc7f90d5e559d4f3b5deace183d","image","2026-08-07T05:08:26.459Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.28.jpeg","74756","6c58d55dbf08db32d7d03137709d14d4586b3cc7f90d5e559d4f3b5deace183d","image","2026-08-07T05:08:26.459Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.45.jpeg","207287","929dcede714894e23219973812789db100d9843150aab9f6d5e1876b9aeb4582","image","2026-08-07T05:08:41.083Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.46.jpeg","161436","e24b642ce372b75fc8ea8ed02f942f94bad2eb44e7ac622bcbbca5e92465c021","image","2026-08-07T05:08:41.468Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.50.jpeg","103288","dce0a23b540f815d35460a9845d4bcdfea1707019e197e6e5600ec44f5315eb8","image","2026-08-07T05:08:47.418Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.51.jpeg","165535","710554192bda4b06562b0e9116b06c3c114bac518be7998516367b0032f35dc8","image","2026-08-07T05:08:49.345Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.52.jpeg","166160","9e2161d442fecd22ce1d5a681fbdae9b0dfd0ab4839a0d8138905db7a0d7098d","image","2026-08-07T05:08:50.781Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.53.jpeg","185407","dab5386f824f9f0da92d11c95a94e39448e5067b467c0e301b8aea884209af7f","image","2026-08-07T05:08:52.060Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.08.55.jpeg","173190","a8b49240a670a0832ab9cf9da5a68c18e4760167d688754a768218ec368223c5","image","2026-08-07T05:08:53.514Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.09.jpeg","133540","d2a7b49287f9b8fd16dd949ebfa447fe75e53a3abefe59a81edae48ead14241a","image","2026-08-07T05:09:05.489Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.11.jpeg","164576","91856f40eda9278ad8ef96611821571fd6e0fb7c157a622f6d5f79b3ce569b27","image","2026-08-07T05:09:06.924Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.13.jpeg","164587","c1f906eaa7f0ce2c9220f2884db8c4a799fc82a8d241434d126191f8db1de843","image","2026-08-07T05:09:10.511Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.16.jpeg","68305","a6a2458434fd9572a000165dbed20a369e1655b811d8a66cb1d9367035a93203","image","2026-08-07T05:09:14.309Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.21.jpeg","249063","29d5347668ce3cc28af44c0098bd7116421c02d697895009e205b647297e30eb","image","2026-08-07T05:09:15.567Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.23.jpeg","169319","10ddb195a294eb003a158b009c88979db4ccd7c35f861a4640f34f6b2c451a93","image","2026-08-07T05:09:23.943Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.30.jpeg","162813","b9d6abecb2ea97df2106fa76284944df397aee0c6a7ebf2c080b3a8a8b6711e3","image","2026-08-07T05:09:25.041Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.34.jpeg","195284","613aca3b614daf1ccc8e4864fb6573fab919c50a79832aa4fd4d6dbce935677d","image","2026-08-07T05:09:33.992Z","","false"
