Agent Name,Faction,Country,,,,,,,,,,,,,,,Links created,Max in country
@DarklifeOrigin,Enlightened,Argentina,,,,,,,,,,,,,,,286,286
@LuchianoA,Enlightened,Argentina,,,,,,,,,,,,,,,35,286
@wodvic,Resistance,Australia,,,,,,,,,,,,,,,237,237
@r0ug,Enlightened,Australia,,,,,,,,,,,,,,,156,237
@MikeDeville000,Resistance,Australia,,,,,,,,,,,,,,,99,237
@TedTwinkie,Resistance,Australia,,,,,,,,,,,,,,,99,237
@WCPL,Resistance,Australia,,,,,,,,,,,,,,,13,237
@Nieumi,Resistance,Australia,,,,,,,,,,,,,,,12,237
@parsleypop,Resistance,Australia,,,,,,,,,,,,,,,17,237
@pinnine,Resistance,Belarus,,,,,,,,,,,,,,,221,221
@Josske ,Enlightened,Belgium,,,,,,,,,,,,,,,78,78
@saarstahl,Enlightened,Belgium,,,,,,,,,,,,,,,63,78
@liyu1,Enlightened,Belgium,,,,,,,,,,,,,,,27,78
@CofBas,Resistance,Israel,,,,,,,,,,,,,,,,184
@taly77,Resistance,Bolivia,,,,,,,,,,,,,,,16,16
@edyuji,Enlightened,Brazil,,,,,,,,,,,,,,,500,500
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@LindaFlor19,Resistance,Brazil,,,,,,,,,,,,,,,500,500
@marcelomotoyama,Enlightened,Brazil,,,,,,,,,,,,,,,307,500
@Hydraulinski,Enlightened,Brazil,,,,,,,,,,,,,,,55,500
@Danielkommers,Resistance,Brazil,,,,,,,,,,,,,,,32,500
@SrTretelez,Resistance,Brazil,,,,,,,,,,,,,,,30,500
@igor972,Resistance,Brazil,,,,,,,,,,,,,,,29,500
@NenesoM,Resistance,Brazil,,,,,,,,,,,,,,,25,500
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@Aartsengel ,Resistance,Brazil,,,,,,,,,,,,,,,23,500
@Zzeno1987,Resistance,Brazil,,,,,,,,,,,,,,,10,500
@Ducate007,Enlightened,Brazil,,,,,,,,,,,,,,,60,500
@dess4ence,Enlightened,Bulgaria,,,,,,,,,,,,,,,56,56
@arkinbg,Enlightened,Bulgaria,,,,,,,,,,,,,,,53,56
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@ChevChelios1976,Resistance,Canada,,,,,,,,,,,,,,,54,54
@GregSeventy7,Resistance,Canada,,,,,,,,,,,,,,,29,54
@Pierreanoid,Resistance,Canada,,,,,,,,,,,,,,,19,54
@MegaSteeliX,Enlightened,China,,,,,,,,,,,,,,,104,104
@SiennaU,Resistance,China,,,,,,,,,,,,,,,37,104
@kiwiwoe,Resistance,Czechia,,,,,,,,,,,,,,,10,10
@Haikk1,Resistance,Finland,,,,,,,,,,,,,,,39,39
@Orenonh,Resistance,France,,,,,,,,,,,,,,,44,44
@Djoulay88,Resistance,France,,,,,,,,,,,,,,,23,44
@Belfas8,Resistance,Germany,,,,,,,,,,,,,,,124,124
@Kerris,Resistance,Germany,,,,,,,,,,,,,,,118,124
@HomerGAdams,Resistance,Germany,,,,,,,,,,,,,,,104,124
@GuppyCk,Resistance,Germany,,,,,,,,,,,,,,,91,124
@speedy301188,Enlightened,Germany,,,,,,,,,,,,,,,44,124
@KarlWinter,Enlightened,Germany,,,,,,,,,,,,,,,35,124
@Sternenputzi,Resistance,Germany,,,,,,,,,,,,,,,31,124
@WeeFreeFang ,Enlightened,Germany,,,,,,,,,,,,,,,26,124
@Cartman45,Resistance,Germany,,,,,,,,,,,,,,,24,124
@SyrinxRHD,Resistance,Germany,,,,,,,,,,,,,,,18,124
@Fuechsin95,Resistance,Germany,,,,,,,,,,,,,,,14,124
@sinopokayo,Resistance,Germany,,,,,,,,,,,,,,,10,124
@sestances,Enlightened,Greece,,,,,,,,,,,,,,,11,11
@lifehaxer,Resistance,India,,,,,,,,,,,,,,,65,65
@JOKI1110,Enlightened,India,,,,,,,,,,,,,,,21,65
@KDdar5han,Enlightened,India,,,,,,,,,,,,,,,18,65
@Maujpuriya,Resistance,India,,,,,,,,,,,,,,,14,65
@MerXcoolZ,Enlightened,India,,,,,,,,,,,,,,,14,65
@KirushnaEnlight,Enlightened,India,,,,,,,,,,,,,,,12,65
@Ironsides39852,Resistance,India,,,,,,,,,,,,,,,10,65
@Jepakazol,Enlightened,Israel,,,,,,,,,,,,,,,184,184
@ravidor,Resistance,Israel,,,,,,,,,,,,,,,131,184
@reformy,Resistance,Israel,,,,,,,,,,,,,,,128,184
@AlexCSLion,Enlightened,Israel,,,,,,,,,,,,,,,124,184
@gilrun,Resistance,Israel,,,,,,,,,,,,,,,100,184
@king2k,Resistance,Israel,,,,,,,,,,,,,,,62,184
@ethan1701,Resistance,Israel,,,,,,,,,,,,,,,55,184
@rubicon615,Resistance,Israel,,,,,,,,,,,,,,,49,184
@CofBas,Resistance,Israel,,,,,,,,,,,,,,,17,184
@AdiBrill,Enlightened,Israel,,,,,,,,,,,,,,,13,184
@ifonz,Enlightened,Italy,,,,,,,,,,,,,,,126,126
@Zenamivir,Resistance,Italy,,,,,,,,,,,,,,,68,126
@miketrevis,Resistance,Italy,,,,,,,,,,,,,,,48,126
@Bulow,Resistance,Italy,,,,,,,,,,,,,,,45,126
@keeper1966,Enlightened,Italy,,,,,,,,,,,,,,,35,126
@Gabry147,Resistance,Italy,,,,,,,,,,,,,,,16,126
@infinito8r,Resistance,Italy,,,,,,,,,,,,,,,16,126
@Kaisose,Resistance,Italy,,,,,,,,,,,,,,,11,126
@zapper0,Resistance,Japan,,,,,,,,,,,,,,,108,108
@noranekoinko,Resistance,Japan,,,,,,,,,,,,,,,73,108
@WOLFROCK7,Resistance,Japan,,,,,,,,,,,,,,,51,108
@sakakiparano,Resistance,Japan,,,,,,,,,,,,,,,37,108
@gogoz7uni,Resistance,Japan,,,,,,,,,,,,,,,30,108
@unadon12,Resistance,Japan,,,,,,,,,,,,,,,22,108
@meronpanda,Resistance,Japan,,,,,,,,,,,,,,,16,108
@dummytest,Resistance,Japan,,,,,,,,,,,,,,,10,108
@yantensh,Resistance,Japan,,,,,,,,,,,,,,,10,108
@SakuraaaN,Resistance,Japan,,,,,,,,,,,,,,,,108
@DoctorWho00,Resistance,Luxembourg,,,,,,,,,,,,,,,427,427
@RussellDev,Resistance,Mayotte,,,,,,,,,,,,,,,11,11
@aitj,Enlightened,Mexico,,,,,,,,,,,,,,,150,150
@Six3lMM,Resistance,Mexico,,,,,,,,,,,,,,,132,150
@ShengDu ,Resistance,Netherlands,,,,,,,,,,,,,,,50,50
@RizzaHawkeye12,Resistance,Peru,,,,,,,,,,,,,,,52,52
